Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Severity Rating
niggah,nigger,,,2.8
phaggot,faggot,,,2.8
nigg@s,nigger,,,2.8
nigg@,nigger,,,2.8
nigg@zzes,nigger,,,2.8
nigga,nigger,,,2.8
nigguh,nigger,,,2.8
niggas,nigger,,,2.8
niggazzes,nigger,,,2.8
mutha fucka,motherfucker,,,2.8
muthafucka,motherfucker,,,2.8
motherfuckins,motherfucker,,,2.8
mufdivin,muff,,,2.8
motherfvcking,motherfucker,,,2.8
motherfvckers,motherfucker,,,2.8
motherfucking,motherfucker,,,2.8
motherfuckers,motherfucker,,,2.8
motherfuckingshit,motherfucker,shit,,2.8
motherfckshit,motherfucker,shit,,2.8
motherfk,motherfucker,,,2.8
motherfecker,motherfucker,,,2.8
motherfuckings,motherfucker,,,2.8
mutherfuckers,motherfucker,,,2.8
muthafuckkers,motherfucker,,,2.8
motherfcked,motherfucker,,,2.8
motherfcks,motherfucker,,,2.8
n1gg@hs,niggger,,,2.8
neggar,nigger,,,2.8
muthafecker,motherfucker,,,2.8
n1ckker,nigger,,,2.8
nickas,nigger,,,2.8
negga,nigger,,,2.8
negr0,negro,,,2.8
nig-nog,nigger,,,2.8
n1ggah,nigger,,,2.8
n1gguh,nigger,,,2.8
mothafucc,motherfucker,,,2.8
mfers,motherfucker,,,2.8
mothafucked,motherfucker,,,2.8
mothafvcked,motherfucker,,,2.8
mother fuck,motherfucker,,,2.8
mofuck,motherfucker,,,2.8
motha fucka,motherfucker,,,2.8
mothafuck,motherfucker,,,2.8
mothafcking,motherfucker,,,2.8
mother fucka,motherfucker,,,2.8
mothafuckeds,motherfucker,,,2.8
mothafucks,motherfucker,,,2.8
mothafucka,motherfucker,,,2.8
mothafuckings,motherfucker,,,2.8
m@derfaker,motherfucker,,,2.8
mega fag,faggot,,,2.8
mfukker,motherfucker,,,2.8
m0therfuckeds,motherfucker,,,2.8
m0thafucking,motherfucker,,,2.8
k1ke,kike,,,2.8
jigro,jiggaboo,nigger,,2.8
kneegrows,negro,,,2.8
jizzstain,jizz,,,2.8
jewboy,jew,,,2.8
jigaboos,jiggaboo,,,2.8
jiggas,jiggaboo,,,2.8
jap,jap,,,2.8
homo asses,homosexual,ass,,2.8
higga,nigger,,,2.8
higg3r,nigger,,,2.8
goddamn mothafuckers,motherfucker,damn,,2.8
gay fucker,fuck,gay,,2.8
gaytard,gay,retard,,2.8
gook,gook,,,2.8
fuckshithead,fuck,shit,,2.8
fucktard,fuck,retard,,2.8
fucking asshole,fuck,ass,,2.8
fukwhore,fuck,whore,,2.8
fuck your mother,fuck,motherfucker,,2.8
face fuck,fuck,,,2.8
f@gging,faggot,,,2.8
f@g,faggot,,,2.8
f@gshit,shit,fag,,2.8
dyke,dyke,,,2.8
fag asses,faggot,ass,,2.8
fagot,faggot,,,2.8
fag bag,faggot,,,2.8
faggot,faggot,,,2.8
fcktard,fuck,retard,,2.8
fag queen,faggot,,,2.8
faggo,faggot,,,2.8
fag,faggot,,,2.8
flamers,flamer,,,2.8
dicksmoker,dick,,,2.8
dumbass mothafuckers,motherfucker,ass,,2.8
dog fuck,fuck,,,2.8
dog fucking,fuck,,,2.8
dog-fucker,fuck,,,2.8
darky,darky,,,2.8
dick fucker,fuck,dick,,2.8
darkie,darky,,,2.8
dickfucker,dick,fuck,,2.8
coonie,coon,,,2.8
cuntasaurus rex,cunt,,,2.8
cuntits,cunt,tits,,2.8
cunty,cunt,,,2.8
cuntless,cunt,,,2.8
cuntz,cunt,,,2.8
cumslut,cum,,,2.8
cunt ass,cunt,ass,,2.8
cotton picker,cotton picker,,,2.8
cumdumpster,cum,,,2.8
cunt lips,cunt,,,2.8
coons,coon,,,2.8
camel jockey,camel jockey,,,2.8
cock sucking nob jokeys,cock,knob,,2.8
c*nty,cunt,,,2.8
c00n,coon,,,2.8
butt-fuckers,fuck,butt,,2.8
chinese-virus,china virus,,,2.8
chingchong,chingchong,,,2.8
c*nts,cunt,,,2.8
closet fuckhead,fuck,,,2.8
bum-driller,bum,,,2.8
ass eating nob jokeys,ass,,,2.8
ass-fucker,fuck,ass,,2.8
ass fuck,fuck,ass,,2.8
arsefuck,fuck,arse,,2.8
assfucker,fuck,ass,,2.8
assfukkerz,fuck,ass,,2.8
assfuck3r,fuck,ass,,2.8
assfcker,ass,fuck,,2.8
ass eating boiolas,ass,,,2.8
assfuckers,fuck,ass,,2.8
assfukka,fuck,ass,,2.8
@ssfucker,fuck,ass,,2.8
@ssfcker,fuck,ass,,2.8
towelshithead,towelhead,shit,,2.6
tar-baby,tar-baby,,,2.6
useless fucker,fuck,,,2.6
we1back,wetback,,,2.6
wetbacks,wetback,,,2.6
wigger,nigger,,,2.6
shitfuckhead,fuck,shit,,2.6
shitfudgefucker,fuck,shit,fudge packer,2.6
shitterfucker,fuck,shit,,2.6
slanteye b1tch,bitch,slant eye,,2.6
spig,spic,,,2.6
shytfeisterfuck,fuck,,,2.6
slanty,slant eye,,,2.6
spooks,spook,,,2.6
slantfreak,slant eye,,,2.6
shitassfucker,fuck,shit,ass,2.6
shitfacefucker,fuck,shit,,2.6
sh1tfuck,fuck,shit,,2.6
shit-fucker,fuck,shit,,2.6
sh3mal3,shemale,,,2.6
shemale,shemale,,,2.6
sausage jockey,sausage jockey,,,2.6
ragheads,raghead,,,2.6
r3tard,retard,,,2.6
retardo,retard,,,2.6
pigfucking,fuck,pig,,2.6
pigfucker,fuck,pig,,2.6
paki,paki,,,2.6
niggass,nigger,ass,,2.6
nuckas,nigger,,,2.6
nigg@z,nigger,,,2.6
mutherfucker,motherfucker,,,2.6
motherfvcked,motherfucker,,,2.6
motherfucca,motherfucker,,,2.6
mthrfcker,motherfucker,,,2.6
mothfck,motherfucker,,,2.6
motherfvck,motherfucker,,,2.6
mudderfukker,motherfucker,,,2.6
motherfukkings,motherfucker,,,2.6
motherfxcking,motherfucker,,,2.6
motherfuckin,motherfucker,,,2.6
motherf@kka,motherfucker,,,2.6
negroid,negro,,,2.6
