Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Severity Rating
cocksuccer,cock,,,2.2
cocksuck,cock,,,2.2
cocksmoker,cock,,,2.2
cockeater,cock,,,2.2
cockmunch,cock,,,2.2
cockshit,cock,shit,,2.2
cocksucker,cock,,,2.2
cocksuccers,cock,,,2.2
cocksuckers,cock,,,2.2
cocksukka,cock,,,2.2
cocksucks,cock,,,2.2
cuksukka,cock,,,2.2
cock-face,cock,,,2.2
cock ,cock,,,2.2
cock,cock,,,2.2
c0cksucker,cock,,,2.2
cawkmuncher,cock,,,2.2
c0cksuckers,cock,,,2.2
cock sucking,cock,,,2.2
cocksucked,cock,,,2.0
cocsuck,cock,,,2.0
cocksucc,cock,,,2.0
cocksuk,cock,,,2.0
cockface,cock,,,2.0
cocksuka,cock,,,2.0
cockhed,cock,,,2.0
cock-suckers,cock,,,2.0
cock-sucker,cock,,,2.0
c0ckhead,cock,,,2.0
c0cksuccer,cock,,,2.0
c0cksucked,cock,,,2.0
coksucka,cock,,,1.8
cockgobbler,cock,,,1.8
cockmuncher,cock,,,1.8
cockhead,cock,,,1.8
cockskin,cock,,,1.8
cock suck,cock,,,1.8
cock-head,cock,,,1.8
c0xux0r,cock,,,1.8
cocks,cock,,,1.6
c0cks,cock,,,1.6
cockless,cock,,,1.4
bwc,cock,,,1.4
c0x,cock,,,1.4
caaak,cock,,,1.4
cawk,cock,,,1.4
cock,cock,,,1.4
bbc,cock,,,1.4
c0ck,cock,,,1.2
cawks,cock,,,1.2
cack,cock ,,,1.2
coon,coon,,,3.0
coon,coon,,,3.0
coonies,coon,,,3.0
coon1es,coon,,,3.0
coonie,coon,,,2.8
coons,coon,,,2.8
c00n,coon,,,2.8
c00nies,coon,,,2.6
cooni3s,coon,,,2.4
cooterpuffing,coot,,,2.4
coot,coot,,,1.6
coot coot,coot,,,1.4
cooter,coot,,,1.2
creampie,creampie,,,2.2
crotch,crotch,,,2.2
crotchy,crotch,,,1.4
crotch,crotch,,,1.0
cumslut,cum,,,2.8
cumdumpster,cum,,,2.8
cumball,cum,,,2.4
cumz,cum,,,2.0
cumming,cum,,,1.6
cums,cum,,,1.4
cum,cum,,,2.0
cunt ,cunt,,,3.0
cuntbag,cunt,,,3.0
cunt ,cunt,,,3.0
cuntness,cunt,,,3.0
cuntlick,cunt,,,3.0
c*ntface,cunt,,,3.0
c*nt,cunt,,,3.0
cuntasaurus,cunt,,,2.8
cuntits,cunt,tits,,2.8
cunty,cunt,,,2.8
cuntless,cunt,,,2.8
cuntz,cunt,,,2.8
cunt ass,cunt,ass,,2.8
cuntlips,cunt,,,2.8
c*nty,cunt,,,2.8
cuunt,cunt,,,2.6
cuntlickers,cunt,,,2.6
cunt,cunt,,,2.6
cunt,cunt,,,2.6
cunts,cunt,,,2.6
cuntelope,cunt,,,2.4
cuntlicker,cunt,,,2.4
cuntbollock,cunt,,,2.2
c*nts,cunt,,,2.8
dago,dago,,,2.2
dicksmoker,dick,,,2.8
dickfucker,dick,fuck,,2.8
suck dick,dick,,,2.2
dicksucker,dick,,,2.2
double dicking,dick,,,2.2
dickjockies,dick,,,2.2
dicklicker,dick,,,2.2
dickmuncher,dick,,,2.0
dickface,dick,,,2.0
dickhead,dick,,,2.0
d1cksukka,dick,,,2.0
d1ckhead,dick,,,1.8
d1ckheads,dick,,,1.8
d1cksucker,dick,,,1.8
dick-head,dick,,,1.8
dickskin,dick,,,1.8
dick-gobbler,dick,,,1.8
dickslapper,dick,,,1.8
dickvag,dick,,,1.6
dikhead,dick,,,1.6
dickheads,dick,,,1.6
dickless,dick,,,1.4
d1cks,dick,,,1.4
diks,dick,,,1.2
dlck,dick,,,1.2
dickz,dick,,,1.2
dix,dick,,,1.0
dlcks,dick,,,1.0
d1ck,dick,,,1.0
d1ckz,dick,,,1.0
dicks,dick,,,1.0
d!ck,dick,,,1.0
d!cks,dick,,,1.0
d1ldo,dildo,,,1.4
d!ld0,dildo,,,1.4
